lote,aviario,aves_abatidas,peso_total_kg,Fazenda,energia_kwh,kwh_por_m2,kwh_por_ave,kwh_por_kg
12,1118,33483,2394034.5,1118,28608.406,19.072270666666665,0.8544158528208344,0.011949872067424257
13,1118,32100,2439600.0,1118,25136.297,16.757531333333333,0.7830622118380062,0.01030345015576324
14,1118,32340,2182950.0,1118,13729.619,9.153079333333334,0.42453985776128633,0.006289479374241279
15,1118,33866,2309661.2,1118,21385.233,14.256822,0.6314661607511959,0.009259034615120173
16,1118,31900,2233000.0,1118,26942.015,17.961343333333332,0.8445772727272727,0.01206538961038961
17,1118,32268,2315648.484,1118,37554.693,25.036462,1.1638370211974711,0.01621778661981064
18,1118,33084,2274194.16,1118,45043.013,30.028675333333332,1.3614742171442389,0.01980614223369565
19,1118,34315,2288638.925,1118,23795.271,15.863514,0.6934364272184176,0.010397127629033926
20,1118,29310,1947766.74,1118,16221.573,10.814382,0.5534484135107473,0.008328293458794763
21,1118,26964,1745056.152,1118,29419.018,19.612678666666667,1.0910479899124759,0.016858493617115423
22,1117,31290,2171056.6500000004,1117,31846.587,21.231058,1.0177880153403642,0.014668703831380905
22,1118,26430,1825493.67,1118,35703.218,23.802145333333335,1.3508595535376466,0.019558116572379023
23,1117,29724,2069265.984,1117,36663.735,24.44249,1.2334724465078724,0.017718232109111016
23,1118,32664,2377939.2,1118,37787.363,25.191575333333333,1.1568504469752632,0.0158908028430668
24,1117,30000,2230170.0,1117,21084.314000000002,14.056209333333335,0.7028104666666667,0.009454128609029807
24,1118,33431,2373601.0,1118,23730.838,15.820558666666667,0.7098452932906584,0.009997821032262794
25,1117,30000,1916850.0,1117,15845.034,10.563356,0.5281678,0.00826618358243994
25,1118,28920,2105376.0,1118,12142.379,8.094919333333333,0.4198609612724758,0.005767320896599943
26,1117,25836,1696159.2359999998,1117,27793.338,18.528892,1.0757601021830006,0.016386042896269676
26,1118,28968,2114664.0,1118,15797.962,10.531974666666667,0.5453590858878763,0.007470672409422963
27,1117,22302,1448514.9,1117,32560.486,21.706990666666666,1.459980539861896,0.022478530251915256
28,1117,31140,2307474.0,1117,30274.083,20.182722,0.9721927745664739,0.013120010452988853
29,1117,32992,2441408.0,1117,16832.991,11.221994,0.5102143246847721,0.00689478817141584
30,1117,28356,2007604.8,1117,9579.585,6.38639,0.3378327338129496,0.0047716487826687795
31,1117,30522,2313567.6,1117,15652.187,10.434791333333333,0.5128165585479326,0.006765389954458214
85,666,23775,1728442.5,666,22095.907,14.730604666666666,0.9293756887486856,0.012783709611398702
86,665,24168,1723178.4,665,15502.187,10.334791333333333,0.6414344174114531,0.008996275139010563
87,665,23634,1583478.0,665,11121.679,7.414452666666667,0.4705796310400271,0.007023576582686972
89,665,23940,1726073.9999999998,665,21943.076,14.628717333333334,0.916586299081036,0.012712708725118392
90,665,23031,1582275.762,665,29147.082000000002,19.431388000000002,1.2655586817767357,0.01842098747891962
93,665,21658,1423861.894,665,12262.586,8.175057333333333,0.5661919844861021,0.008612201823556912
93,666,23472,1607949.36,666,13203.97,8.802646666666666,0.5625413258350375,0.008211682736078205
94,665,17178,1161919.92,665,22532.061,15.021374000000002,1.3116812783793226,0.019392094594608552
94,666,21264,1464090.1919999998,666,24551.893,16.367928666666668,1.1546225075244545,0.01676938561173013
95,665,18510,1260327.39,665,27972.689,18.64845933333333,1.5112203673689897,0.02219477988175755
95,666,21906,1259375.94,666,4181.454,2.787636,0.19088167625308133,0.0033202587624470577
96,665,23142,1650024.6,665,31206.667,20.80444466666667,1.3484861723273702,0.018912849541758345
96,666,22064,1564337.6,666,33196.856,22.131237333333335,1.5045710659898477,0.021221030549927328
97,665,24096,1684310.4,665,18714.536,12.476357333333333,0.7766656706507304,0.011111096861956087
97,666,23300,1728860.0,666,20091.587,13.394391333333333,0.8622998712446351,0.01162129206529158
98,665,20664,1535335.2,665,12119.157,8.079438,0.5864864982578397,0.00789349257412974
98,666,19164,1397055.6,666,12811.093,8.540728666666666,0.6684978605719057,0.009170066674511737
99,665,19780,1370754.0,665,3427.88,2.2852533333333334,0.17330030333670374,0.0025007258778745128
99,666,19974,1434133.2,666,16493.64,10.995759999999999,0.8257554821267648,0.01150077273157054
