aviario,lote,dia,energia_kwh
666,95,2,1131.615
666,95,13,216.826
666,95,12,182.559
666,95,11,221.205
666,95,10,164.513
666,95,9,185.607
666,95,8,160.905
666,95,1,996.0310000000001
666,95,7,144.157
666,95,6,161.268
666,95,5,188.761
666,95,4,156.234
666,95,3,118.077
666,95,2,75.509
666,95,1,78.187
666,97,7,2211.194
666,97,49,110.95
666,97,48,72.701
666,97,47,215.702
666,97,46,440.175
666,97,45,475.834
666,97,44,469.96
666,97,43,425.872
666,97,6,2312.728
666,97,42,398.338
666,97,41,335.64
666,97,40,306.929
666,97,39,354.513
666,97,38,351.725
666,97,37,287.956
666,97,36,277.627
666,97,5,1551.76
666,97,35,238.064
666,97,34,203.627
666,97,33,184.222
666,97,32,180.767
666,97,31,222.735
666,97,30,254.923
666,97,29,267.422
666,97,4,1490.569
666,97,28,230.332
666,97,27,154.102
666,97,26,227.068
666,97,25,217.302
666,97,24,220.471
666,97,23,219.118
666,97,22,222.176
666,97,3,999.483
666,97,21,195.347
666,97,20,202.88
666,97,19,151.43
666,97,18,120.926
666,97,17,145.438
666,97,16,116.726
666,97,15,66.736
666,97,2,732.4010000000001
666,97,14,139.806
666,97,13,119.808
666,97,12,108.44
666,97,11,64.986
666,97,10,124.929
666,97,9,114.383
666,97,8,60.049
666,97,1,783.691
666,97,7,102.267
666,97,6,118.511
666,97,5,115.365
666,97,4,79.663
666,97,3,110.896
666,97,2,116.792
666,97,1,68.132
666,96,7,1761.3269999999998
666,96,47,164.954
666,96,46,131.857
666,96,45,410.783
666,96,44,531.102
666,96,43,522.631
666,96,6,3468.8300000000004
666,96,42,512.261
666,96,41,517.162
666,96,40,492.197
666,96,39,469.869
666,96,38,465.374
666,96,37,496.425
666,96,36,515.542
666,96,5,3495.067
666,96,35,513.945
666,96,34,509.459
666,96,33,513.533
666,96,32,507.408
666,96,31,480.446
666,96,30,477.541
666,96,29,492.735
666,96,4,3094.735
666,96,28,458.101
666,96,27,427.103
666,96,26,358.567
666,96,25,395.653
666,96,24,509.757
666,96,23,478.373
666,96,22,467.181
666,96,3,2411.281
666,96,21,391.316
666,96,20,342.988
666,96,19,406.092
666,96,18,388.581
666,96,17,324.467
666,96,16,276.35
666,96,15,281.487
666,96,2,1588.8999999999999
666,96,14,295.491
666,96,13,266.238
666,96,12,209.991
666,96,11,224.511
666,96,10,196.29
666,96,9,201.331
666,96,8,195.048
666,96,1,778.2879999999998
666,96,7,147.276
666,96,6,110.671
666,96,5,147.046
666,96,4,122.711
666,96,3,87.151
666,96,2,154.921
666,96,1,8.512
666,98,7,1313.3120000000001
666,98,47,72.456
666,98,46,205.819
666,98,45,352.971
666,98,44,358.752
666,98,43,323.314
666,98,6,1576.6140000000003
666,98,42,295.076
666,98,41,249.037
666,98,40,226.83
666,98,39,212.001
666,98,38,213.068
666,98,37,206.903
666,98,36,173.699
666,98,5,1099.023
666,98,35,178.302
666,98,34,176.385
666,98,33,132.838
666,98,32,101.506
666,98,31,133.823
666,98,30,156.381
666,98,29,219.788
666,98,4,696.814
666,98,28,104.473
666,98,27,91.19
666,98,26,87.663
666,98,25,92.156
666,98,24,103.217
666,98,23,125.389
666,98,22,92.726
666,98,3,801.1899999999999
666,98,21,85.485
666,98,20,137.749
666,98,19,156.646
666,98,18,147.201
666,98,17,118.184
666,98,16,78.804
666,98,15,77.121
666,98,2,486.49299999999994
666,98,14,68.51
666,98,13,63.858
666,98,12,64.452
666,98,11,70.267
666,98,10,75.458
666,98,9,73.818
666,98,8,70.13
666,98,1,457.823
666,98,7,59.036
666,98,6,52.83
666,98,5,68.949
666,98,4,59.437
666,98,3,58.519
666,98,2,56.15
666,98,1,51.457
666,93,7,556.3209999999999
666,93,46,46.499
666,93,44,131.682
666,93,43,378.14
666,93,6,2075.999
666,93,42,336.056
666,93,41,272.098
666,93,40,236.198
666,93,39,313.902
666,93,38,313.778
666,93,37,312.991
666,93,36,290.976
666,93,5,1625.021
666,93,35,276.398
666,93,34,260.024
666,93,33,235.968
666,93,32,231.658
666,93,31,233.759
666,93,30,210.214
666,93,29,177.0
666,93,4,755.867
666,93,28,200.017
666,93,27,150.481
666,93,26,74.78
666,93,25,95.386
666,93,24,80.096
666,93,23,67.425
666,93,22,87.682
666,93,3,515.249
666,93,21,61.604
666,93,20,59.551
666,93,19,52.853
666,93,18,53.164
666,93,17,54.611
666,93,16,127.383
666,93,15,106.083
666,93,2,559.5200000000001
666,93,14,103.707
666,93,13,94.106
666,93,12,72.658
666,93,11,56.34
666,93,10,75.488
666,93,9,84.925
666,93,8,72.296
666,93,1,545.2900000000001
666,93,7,60.384
666,93,6,57.926
666,93,5,87.521
666,93,4,88.071
666,93,3,68.448
666,93,2,70.3
666,93,1,50.076
666,94,7,2298.469
666,94,47,423.043
666,94,46,527.433
666,94,45,504.923
666,94,44,432.661
666,94,43,410.409
666,94,6,3192.313
666,94,42,384.508
666,94,41,385.428
666,94,40,474.148
666,94,39,496.46
666,94,38,482.403
666,94,37,489.874
666,94,36,479.492
666,94,5,2094.105
666,94,35,385.923
666,94,34,359.265
666,94,33,377.315
666,94,32,323.823
666,94,31,271.676
666,94,30,243.606
666,94,29,132.497
666,94,4,1956.273
666,94,28,203.432
666,94,27,316.163
666,94,26,306.556
666,94,25,292.49
666,94,24,278.754
666,94,23,278.08
666,94,22,280.798
666,94,3,1269.548
666,94,21,289.004
666,94,20,188.347
666,94,19,110.031
666,94,18,199.187
666,94,17,240.643
666,94,16,153.214
666,94,15,89.122
666,94,2,856.989
666,94,14,228.543
666,94,13,184.507
666,94,12,120.979
666,94,11,107.63
