dia,energia_kwh
1,360.5877441860465
2,499.1304022988506
3,654.9933139534884
4,862.9581511627907
5,1198.203558139535
6,1491.2382558139536
7,975.0803176470589
8,94.43175000000001
9,118.3915909090909
10,117.3583409090909
11,127.47279545454545
12,142.51170454545456
13,152.88736363636363
14,161.77546511627907
15,138.24546511627906
16,163.53537209302326
17,183.5649069767442
18,187.4153023255814
19,177.14513953488373
20,181.90693023255812
21,199.2180465116279
22,219.70039534883722
23,239.31386046511625
24,235.25933333333333
25,223.43854761904763
26,225.5127619047619
27,249.61835714285712
28,272.1225
29,309.07259523809523
30,305.8199761904762
31,311.7518333333333
32,323.1213333333333
33,356.4880238095238
34,372.9028333333333
35,372.26635714285715
36,387.36485714285715
37,405.85723809523813
38,430.04840476190475
39,442.4584285714286
40,422.04871428571425
41,425.1947380952381
42,438.0595
43,452.37278048780485
44,425.8932926829268
45,440.8966216216216
46,406.55559999999997
47,361.4221153846154
48,185.68685714285715
49,169.80928571428572
