lote,aviario,energia_kwh
12,1118,28608.406
13,1118,25136.297
14,1118,13729.619
15,1118,21385.233
16,1118,26942.015
17,1118,37554.693
18,1118,45043.013
19,1118,23795.271
20,1118,16221.573
21,1118,29419.018
22,1117,31846.587
22,1118,35703.218
23,1117,36663.735
23,1118,37787.363
24,1117,21084.314000000002
24,1118,23730.838
25,1117,15845.034
25,1118,12142.379
26,1117,27793.338
26,1118,15797.962
27,1117,32560.486
28,1117,30274.083
29,1117,16832.991
30,1117,9579.585
31,1117,15652.187
85,666,22095.907
86,665,15502.187
87,665,11121.679
89,665,21943.076
90,665,29147.082000000002
93,665,12262.586
93,666,13203.97
94,665,22532.061
94,666,24551.893
95,665,27972.689
95,666,4181.454
96,665,31206.667
96,666,33196.856
97,665,18714.536
97,666,20091.587
98,665,12119.157
98,666,12811.093
99,665,3427.88
99,666,16493.64
