lote,aviario,aves_alojadas,aves_abatidas,peso_medio_kg,peso_total_kg,ano
17,1117,36800,32766,72.9,2388641.4000000004,2023
85,665,27800,25728,72.3,1860134.4,2023
85,666,27800,23775,72.7,1728442.5,2023
12,1118,36800,33483,71.5,2394034.5,2023
18,1117,35600,31734,75.1,2383223.4,2023
13,1118,35700,32100,76.0,2439600.0,2023
86,665,27000,24168,71.3,1723178.4,2023
86,666,27000,23808,73.0,1737984.0,2023
14,1118,35994,32340,67.5,2182950.0,2023
19,1117,35993,33030,70.3,2322009.0,2023
87,666,27000,25591,71.3,1824638.2999999998,2023
87,665,27000,23634,67.0,1583478.0,2023
88,665,27490,24876,64.1,1594551.5999999999,2023
15,1118,36000,33866,68.2,2309661.2,2023
20,1117,35992,33168,69.2,2295225.6,2023
88,666,27491,25680,69.1,1774487.9999999998,2023
89,666,27000,22526,68.9,1552041.4000000001,2023
16,1118,35990,31900,70.0,2233000.0,2023
21,1117,36000,33880,65.7,2225916.0,2023
89,665,25293,23940,72.1,1726073.9999999998,2023
90,666,24290,22595,68.524,1548299.78,2024
17,1118,33991,32268,71.763,2315648.484,2024
22,1117,33990,31290,69.385,2171056.6500000004,2024
90,665,25300,23031,68.702,1582275.7619999999,2024
23,1117,36000,29724,69.616,2069265.984,2024
18,1118,36000,33084,68.74,2274194.1599999997,2024
91,666,27000,23802,66.06,1572360.12,2024
91,665,25300,21936,68.745,1507990.32,2024
92,666,26990,25200,69.408,1749081.6,2024
92,665,25290,23500,70.183,1649300.5000000002,2024
19,1118,36000,34315,66.695,2288638.925,2024
24,1117,36000,30000,74.339,2230170.0,2024
93,666,26990,23472,68.505,1607949.3599999999,2024
20,1118,35990,29310,66.454,1947766.7399999998,2024
25,1117,35990,30000,63.895,1916850.0,2024
93,665,25290,21658,65.743,1423861.8939999999,2024
21,1118,36000,26964,64.718,1745056.152,2024
94,666,27000,21264,68.853,1464090.1919999998,2024
26,1117,36000,25836,65.651,1696159.2359999998,2024
94,665,25300,17178,67.64,1161919.92,2024
22,1118,36500,26430,69.069,1825493.6700000002,2024
95,666,27400,21906,57.49,1259375.94,2024
27,1117,36500,22302,64.95,1448514.9000000001,2024
95,665,25300,18510,68.089,1260327.39,2024
28,1117,33900,31140,74.1,2307474.0,2025
23,1118,33900,32664,72.8,2377939.1999999997,2025
96,666,24300,22064,70.9,1564337.6,2025
96,665,25300,23142,71.3,1650024.5999999999,2025
97,665,25300,24096,69.9,1684310.4000000001,2025
24,1118,33900,33431,71.0,2373601.0,2025
29,1117,33900,32992,74.0,2441408.0,2025
97,666,24300,23300,74.2,1728860.0,2025
98,665,25000,20664,74.3,1535335.2,2025
30,1117,33900,28356,70.8,2007604.7999999998,2025
98,666,24300,19164,72.9,1397055.6,2025
25,1118,33500,28920,72.8,2105376.0,2025
26,1118,33394,28968,73.0,2114664.0,2025
31,1117,33900,30522,75.8,2313567.6,2025
99,666,24000,19974,71.8,1434133.2,2025
99,665,25000,19780,69.3,1370754.0,2025
100,665,24300,21202,71.3,1511702.5999999999,2025
27,1118,32500,28686,72.2,2071129.2000000002,2025
32,1117,32500,30528,71.4,2179699.2,2025
